末级知识点,打标解读（标绿的标签，新题不再打）,大模型压缩+人工微调的释义,原始释义是否有理解问题/压缩后的释义是否依然存在问题,"常见题干（3-10个）
（根据题目常见问法的多样性匹配题干数量）","多知识点题干（3-10个）
（根据题目变式或组合的多样性匹配题干数量）","多知识点题干ID
(只粘有理解成本的)",所含其他知识点（除当前知识点外）,人员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词汇->词汇（音/形/义）->副词（短语）的音/形/义,"① 题型范畴限定在：各类填空题，如听力填空题、单词拼写、语法填空、首字母填空等
② 涉及考查知识点有：1.副词（短语）的音标、重音、读音规律，常在听音、看音标填空等题型出现；2.副词的拼写规则、形式变化
注意：所有涉及到写副词性单词/短语的填空类题都打此类标签","① 题型范畴限定在：各类填空题，如听力填空题、单词拼写、语法填空、首字母填空等
② 涉及考查知识点有：1.副词（短语）的音标、重音、读音规律，常在听音、看音标填空等题型出现；2.副词的拼写规则、形式变化
注意：所有涉及到写副词性单词/短语的填空类题都打此类标签",否,,,,,晓蓓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词汇->词汇（音/形/义）->介词（短语）的音/形/义,"① 题型范畴限定在：各类填空题，如听力填空题、单词拼写、语法填空、首字母填空等
② 涉及考查知识点有：1.介词（短语）的音标、重音、读音规律，常在听音、看音标填空等题型出现；2.介词的拼写规则
注意：所有涉及到写介词性单词/短语的填空类题都打此类标签","① 题型范畴限定在：各类填空题，如听力填空题、单词拼写、语法填空、首字母填空等
② 涉及考查知识点有：1.介词（短语）的音标、重音、读音规律，常在听音、看音标填空等题型出现；2.介词的拼写规则
注意：所有涉及到写介词性单词/短语的填空类题都打此类标签",否,,,,,晓蓓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词汇->词汇辨析->名词（短语）辨析,"① 题型范畴限定在：单选题（非复合题），常见为选项为多个名词（短语），从中选择正确选项的题型
② 涉及考查知识点：名词（短语）的本义用法、语境义判断、固定搭配义、同义 / 反义替换
注意：只有单选题打此类标签","① 题型范畴限定在：单选题（非复合题），常见为选项为多个名词（短语），从中选择正确选项的题型
② 涉及考查知识点：名词（短语）的本义用法、语境义判断、固定搭配义、同义 / 反义替换
注意：只有单选题打此类标签",否,,,,,晓蓓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词汇->词汇辨析->动词（短语）辨析,"① 题型范畴限定在：单选题（非复合题），常见为选项为多个动词（短语），从中选择正确选项的题型
② 涉及考查知识点：动词（短语）的本义用法、语境义判断、固定搭配义、同义 / 反义替换
注意：只有单选题打此类标签","① 题型范畴限定在：单选题（非复合题），常见为选项为多个动词（短语），从中选择正确选项的题型
② 涉及考查知识点：动词（短语）的本义用法、语境义判断、固定搭配义、同义 / 反义替换
注意：只有单选题打此类标签",否,,,,,晓蓓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词汇->词汇辨析->形容词（短语）辨析,"① 题型范畴限定在：单选题（非复合题），常见为选项为多个形容词（短语），从中选择正确选项的题型
② 涉及考查知识点：形容词（短语）的本义用法、语境义判断、固定搭配义、同义 / 反义替换
注意：只有单选题打此类标签","① 题型范畴限定在：单选题（非复合题），常见为选项为多个形容词（短语），从中选择正确选项的题型
② 涉及考查知识点：形容词（短语）的本义用法、语境义判断、固定搭配义、同义 / 反义替换
注意：只有单选题打此类标签",否,,,,,晓蓓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词汇->词汇辨析->副词（短语）辨析,"① 题型范畴限定在：单选题（非复合题），常见为选项为多个副词（短语），从中选择正确选项的题型
② 涉及考查知识点：副词（短语）的本义用法、语境义判断、固定搭配义、同义 / 反义替换
注意：只有单选题打此类标签","① 题型范畴限定在：单选题（非复合题），常见为选项为多个副词（短语），从中选择正确选项的题型
② 涉及考查知识点：副词（短语）的本义用法、语境义判断、固定搭配义、同义 / 反义替换
注意：只有单选题打此类标签",否,,,,,晓蓓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词汇->词汇辨析->介词（短语）辨析,"① 题型范畴限定在：单选题（非复合题），常见为选项为多个介词（短语），从中选择正确选项的题型
② 涉及考查知识点：介词（短语）的本义用法、语境义判断、固定搭配义、同义 / 反义替换
注意：只有单选题打此类标签","① 题型范畴限定在：单选题（非复合题），常见为选项为多个介词（短语），从中选择正确选项的题型
② 涉及考查知识点：介词（短语）的本义用法、语境义判断、固定搭配义、同义 / 反义替换
注意：只有单选题打此类标签",否,,,,,晓蓓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词汇->词汇辨析->词汇辨析（混合词性）,"① 题型范畴限定在：单选题（非复合题），常见为选项含有多个词性的单词（短语），从中选择正确选项的题型
② 涉及考查知识点：词汇（短语）的本义用法、语境义判断、固定搭配义、同义 / 反义替换
注意：只有单选题打此类标签","① 题型范畴限定在：单选题（非复合题），常见为选项含有多个词性的单词（短语），从中选择正确选项的题型
② 涉及考查知识点：词汇（短语）的本义用法、语境义判断、固定搭配义、同义 / 反义替换
注意：只有单选题打此类标签",否,,,,,晓蓓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词汇->近/反义词->同/近义词,"① 常见题型：单选题、语法填空、单词拼写、句型转换、完成句子、语法选择
② 题干关键词：句型转换题：中常给出“（改为同义句）”、”(保持原句意思)”、 ”(同义句转换)“的中文提示；单选题：“选出与划线部分单词或短语意思相近的选项”、The words ... in the sentence can be replaced by ""_______""、 ”What do the underlined words mean?“、“similar in meaning”；单词拼写题：“（近义词）“、“=”
③ 涉及考查知识点常有：单词或短语的同义替换、近义表达辨析、语境下的词义对等、固定短语的同义转换
注意：① 如果复合题语法填空中某一小题的选项都是同/义近词，则该小题打此标签；②如同时考查变同/近义词后的单词拼写、读音，同时打此标签以及 “知识点 -> 词汇 -> 词汇（音 / 形 / 义）”","① 常见题型：单选题、语法填空、单词拼写、句型转换、完成句子、语法选择
② 题干关键词：句型转换题：中常给出“（改为同义句）”、”(保持原句意思)”、 ”(同义句转换)“的中文提示；单选题：“选出与划线部分单词或短语意思相近的选项”、The words ... in the sentence can be replaced by ""_______""、 ”What do the underlined words mean?“、“similar in meaning”；单词拼写题：“（近义词）“、“=”
③ 涉及考查知识点常有：单词或短语的同义替换、近义表达辨析、语境下的词义对等、固定短语的同义转换
注意：① 如果复合题语法填空中某一小题的选项都是同/义近词，则该小题打此标签；②如同时考查变同/近义词后的单词拼写、读音，同时打此标签以及 “知识点 -> 词汇 -> 词汇（音 / 形 / 义）”",否,,,,,晓蓓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词汇->近/反义词->反义词,"① 常见题型：单选题、语法填空、单词拼写、句型转换、完成句子、语法选择
② 题干关键词：句型转换题：中常给出“（改为反义句）”、”(保持句意不变)”、 ”(同义句转换)“的中文提示；单选题：“ 选出与画线单词意思相反的单词”、”opposite in meaning“；单词拼写题：“(反义词) “
③ 涉及考查知识点常有：单词或短语的反义对应、反义词辨析、语境下的反义表达、否定含义替换
注意：①如果复合题语法填空中某一小题的选项出现了意思相反的单词，则该小题打此标签；②如同时考查变反义词后的单词拼写、读音，同时打此标签以及 “知识点 -> 词汇 -> 词汇（音 / 形 / 义）”","① 常见题型：单选题、语法填空、单词拼写、句型转换、完成句子、语法选择
② 题干关键词：句型转换题：中常给出“（改为反义句）”、”(保持句意不变)”、 ”(同义句转换)“的中文提示；单选题：“ 选出与画线单词意思相反的单词”、”opposite in meaning“；单词拼写题：“(反义词) “
③ 涉及考查知识点常有：单词或短语的反义对应、反义词辨析、语境下的反义表达、否定含义替换
注意：①如果复合题语法填空中某一小题的选项出现了意思相反的单词，则该小题打此标签；②如同时考查变反义词后的单词拼写、读音，同时打此标签以及 “知识点 -> 词汇 -> 词汇（音 / 形 / 义）”",否,,,,,晓蓓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词汇->构词法->派生法（词根词缀）,"① 常见题型：单选题、单词拼写
② 题干关键词：单选题：suffix、后缀、prefix、前缀、formed
③ 涉及考查知识点常有：常见前缀（un-/dis-/in-/im-/re-/mis-）、常见后缀（-er/-or/-ist/-tion/-ment/-ness/-ful/-less/-y/-ly）、词根基础含义、通过词缀判断词义与词性、否定前缀构成反义词
注意： ① 如仅考查加前缀 / 后缀改变词义或词性，只打此标签 ②如同时考查派生后的单词拼写、读音，同时打此标签以及 “知识点 -> 词汇 -> 词汇（音 / 形 / 义）”","① 常见题型：单选题、单词拼写
② 题干关键词：单选题：suffix、后缀、prefix、前缀、formed
③ 涉及考查知识点常有：常见前缀（un-/dis-/in-/im-/re-/mis-）、常见后缀（-er/-or/-ist/-tion/-ment/-ness/-ful/-less/-y/-ly）、词根基础含义、通过词缀判断词义与词性、否定前缀构成反义词
注意： ① 如仅考查加前缀 / 后缀改变词义或词性，只打此标签 ②如同时考查派生后的单词拼写、读音，同时打此标签以及 “知识点 -> 词汇 -> 词汇（音 / 形 / 义）”",否,,,,,晓蓓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词汇->构词法->转化法,"① 常见题型：单选题、单词拼写、语法填空
② 题干关键词：单选题：转化法；选项可能出现形态相近的词，如like和likes，词性相同但词义不同；单词拼写：根据括号中给出的词性填空；(v. ______) → (n. _______)
③ 涉及考查知识点常有：同一单词不改变词形，直接转化为不同词性使用；常见名转动、动转名、形转动等转化现象；结合语境判断转化后的词义与词性
注意： 如同时考查转化后的单词拼写、读音，同时打此标签以及 “知识点 -> 词汇 -> 词汇（音 / 形 / 义）”","① 常见题型：单选题、单词拼写、语法填空
② 题干关键词：单选题：转化法；选项可能出现形态相近的词，如like和likes，词性相同但词义不同；单词拼写：根据括号中给出的词性填空；(v. ______) → (n. _______)
③ 涉及考查知识点常有：同一单词不改变词形，直接转化为不同词性使用；常见名转动、动转名、形转动等转化现象；结合语境判断转化后的词义与词性
注意： 如同时考查转化后的单词拼写、读音，同时打此标签以及 “知识点 -> 词汇 -> 词汇（音 / 形 / 义）”",否,,,,,晓蓓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词汇->构词法->合成法,"① 常见题型：单选题、单词拼写、语法填空
② 涉及考查知识点常有：两个或多个单词直接组合构成新词；常见合成名词、合成形容词、合成副词、合成代词；合成词的词义理解、拼写与用法；选项多见用中间用连字符连接类型的复合词辨析，如""13-year-old""
注意： 如同时考查转化后的单词拼写、读音，同时打此标签以及 “知识点 -> 词汇 -> 词汇（音 / 形 / 义）”","① 常见题型：单选题、单词拼写、语法填空
② 涉及考查知识点常有：两个或多个单词直接组合构成新词；常见合成名词、合成形容词、合成副词、合成代词；合成词的词义理解、拼写与用法；选项多见用中间用连字符连接类型的复合词辨析，如""13-year-old""
注意： 如同时考查转化后的单词拼写、读音，同时打此标签以及 “知识点 -> 词汇 -> 词汇（音 / 形 / 义）”",否,,,,,晓蓓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词汇->构词法->缩写/简写法,"① 常见题型：单选题、单词拼写
② 题干关键词：缩写、缩略、全称
③ 涉及考查知识点常有：常见单词缩写、名词缩略形式、月份 / 星期简写、标点与书写规范；根据缩写还原完整单词，根据完整单词写出缩写","① 常见题型：单选题、单词拼写
② 题干关键词：缩写、缩略、全称
③ 涉及考查知识点常有：常见单词缩写、名词缩略形式、月份 / 星期简写、标点与书写规范；根据缩写还原完整单词，根据完整单词写出缩写",否,,,,,晓蓓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->名词->名词的数->可数名词->可数名词单复数的基本用法,"① 常见题型：单选题、语法填空、单词拼写（单词适当形式填空）、语法选择
②题干关键词：are、is、one/two/three/four...、many、lots of/a lot of、There is/There are、there is/there are、some、a/an、any、a few/few、a little/little、pair(s)
③ 涉及考查知识点常有：可数名词单数与复数的区分；规则名词变复数（直接加 - s、加 - es、变 y 为 i 加 - es、f/fe 变 v 加 - es 等）；不规则名词复数；单复数同形名词；主谓一致中单复数对应
注意：如果还涉及到规则名词变复数、不规则名词复数、不可数名词等考察点，要同时打多个符合要求的标签","① 常见题型：单选题、语法填空、单词拼写（单词适当形式填空）、语法选择
②题干关键词：are、is、one/two/three/four...、many、lots of/a lot of、There is/There are、there is/there are、some、a/an、any、a few/few、a little/little、pair(s)
③ 涉及考查知识点常有：可数名词单数与复数的区分；规则名词变复数（直接加 - s、加 - es、变 y 为 i 加 - es、f/fe 变 v 加 - es 等）；不规则名词复数；单复数同形名词；主谓一致中单复数对应
注意：如果还涉及到规则名词变复数、不规则名词复数、不可数名词等考察点，要同时打多个符合要求的标签",否,,,,,晓蓓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->名词->名词的数->可数名词->可数名词复数的规则变化,"① 常见题型：单选题、语法填空、单词拼写（单词适当形式填空）、语法选择
② 题干关键词：are、two/three/four...、many、lots of/a lot of、There are、there are、some、a few、a little
③ 涉及考查知识点常有：一般情况直接加 - s；以 s/x/ch/sh 结尾加 - es；以辅音字母 + y 结尾变 y 为 i 加 - es；以 f/fe 结尾变 v 加 - es；以 o 结尾有生命加 - es 无生命加 - s；字母、数字、缩写词复数加 -'s 或 - s 等规则变化","① 常见题型：单选题、语法填空、单词拼写（单词适当形式填空）、语法选择
② 题干关键词：are、two/three/four...、many、lots of/a lot of、There are、there are、some、a few、a little
③ 涉及考查知识点常有：一般情况直接加 - s；以 s/x/ch/sh 结尾加 - es；以辅音字母 + y 结尾变 y 为 i 加 - es；以 f/fe 结尾变 v 加 - es；以 o 结尾有生命加 - es 无生命加 - s；字母、数字、缩写词复数加 -'s 或 - s 等规则变化",否,,,,,晓蓓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->名词->名词的数->可数名词->可数名词复数的不规则变化,"① 常见题型：单选题、语法填空、单词拼写（单词适当形式填空）、语法选择
② 题干关键词：are、two/three/four...、many、lots of/a lot of、There are、there are、some、a few、a little
③ 涉及考查知识点常有：元音变化（man-men, woman-women, foot-feet, tooth-teeth）；词尾特殊变化（child-children, mouse-mice）；单复数同形（sheep, deer, fish, Chinese, Japanese）
注意： 复合名词复数不属于此类不规则变化，不打此标签","① 常见题型：单选题、语法填空、单词拼写（单词适当形式填空）、语法选择
② 题干关键词：are、two/three/four...、many、lots of/a lot of、There are、there are、some、a few、a little
③ 涉及考查知识点常有：元音变化（man-men, woman-women, foot-feet, tooth-teeth）；词尾特殊变化（child-children, mouse-mice）；单复数同形（sheep, deer, fish, Chinese, Japanese）
注意： 复合名词复数不属于此类不规则变化，不打此标签",否,,,,,晓蓓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
